Sample	Filename	sequence_length_distribution	overrepresented_sequences	sequence_duplication_levels	per_sequence_gc_content	File type	per_base_n_content	per_tile_sequence_quality	Encoding	adapter_content	total_deduplicated_percentage	kmer_content	Sequences flagged as poor quality	per_base_sequence_content	avg_sequence_length	Total Sequences	basic_statistics	per_base_sequence_quality	Sequence length	%GC	per_sequence_quality_scores
10-Kapa-100ng-2_S10_L006_R1_001	10-Kapa-100ng-2_S10_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.53179301665118	warn	0.0	warn	151.0	25207432.0	pass	pass	151.0	41.0	pass
10-Kapa-100ng-2_S10_L006_R2_001	10-Kapa-100ng-2_S10_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	95.04549605185821	fail	0.0	warn	151.0	25207432.0	pass	pass	151.0	42.0	pass
10-Kapa-100ng-2_S10_L007_R1_001	10-Kapa-100ng-2_S10_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.94543736537128	fail	0.0	warn	151.0	24466845.0	pass	pass	151.0	41.0	pass
10-Kapa-100ng-2_S10_L007_R2_001	10-Kapa-100ng-2_S10_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	95.28918639558981	fail	0.0	warn	151.0	24466845.0	pass	pass	151.0	42.0	pass
10-Kapa-100ng-2_S10_L008_R1_001	10-Kapa-100ng-2_S10_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	94.28634143036173	fail	0.0	warn	151.0	24319484.0	pass	pass	151.0	41.0	pass
10-Kapa-100ng-2_S10_L008_R2_001	10-Kapa-100ng-2_S10_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.59885892130276	fail	0.0	warn	151.0	24319484.0	pass	pass	151.0	42.0	pass
11-Kapa-100ng-3_S11_L005_R1_001	11-Kapa-100ng-3_S11_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.47650405831233	fail	0.0	warn	151.0	28058818.0	pass	pass	151.0	41.0	pass
11-Kapa-100ng-3_S11_L005_R2_001	11-Kapa-100ng-3_S11_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.57272634023744	fail	0.0	warn	151.0	28058818.0	pass	pass	151.0	42.0	pass
11-Kapa-100ng-3_S11_L006_R1_001	11-Kapa-100ng-3_S11_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.41599009162607	warn	0.0	warn	151.0	27342453.0	pass	pass	151.0	41.0	pass
11-Kapa-100ng-3_S11_L006_R2_001	11-Kapa-100ng-3_S11_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.8116349700855	fail	0.0	warn	151.0	27342453.0	pass	pass	151.0	42.0	pass
11-Kapa-100ng-3_S11_L007_R1_001	11-Kapa-100ng-3_S11_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.549623647164	fail	0.0	warn	151.0	26530276.0	pass	pass	151.0	41.0	pass
11-Kapa-100ng-3_S11_L007_R2_001	11-Kapa-100ng-3_S11_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	94.90562418447857	fail	0.0	warn	151.0	26530276.0	pass	pass	151.0	42.0	pass
11-Kapa-100ng-3_S11_L008_R1_001	11-Kapa-100ng-3_S11_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	94.05515111894188	fail	0.0	warn	151.0	26361730.0	pass	pass	151.0	41.0	pass
11-Kapa-100ng-3_S11_L008_R2_001	11-Kapa-100ng-3_S11_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.28960890699392	fail	0.0	warn	151.0	26361730.0	pass	pass	151.0	42.0	pass
12-Kapa-100ng-4_S12_L005_R1_001	12-Kapa-100ng-4_S12_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.4310386889446	fail	0.0	warn	151.0	34703918.0	pass	pass	151.0	41.0	pass
12-Kapa-100ng-4_S12_L005_R2_001	12-Kapa-100ng-4_S12_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.40794452518742	fail	0.0	warn	151.0	34703918.0	pass	pass	151.0	41.0	pass
12-Kapa-100ng-4_S12_L006_R1_001	12-Kapa-100ng-4_S12_L006_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.33581021356925	warn	0.0	warn	151.0	33879801.0	pass	pass	151.0	41.0	pass
12-Kapa-100ng-4_S12_L006_R2_001	12-Kapa-100ng-4_S12_L006_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.76379613304329	fail	0.0	warn	151.0	33879801.0	pass	pass	151.0	41.0	pass
12-Kapa-100ng-4_S12_L007_R1_001	12-Kapa-100ng-4_S12_L007_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	93.76921565242432	fail	0.0	warn	151.0	32891800.0	pass	pass	151.0	41.0	pass
12-Kapa-100ng-4_S12_L007_R2_001	12-Kapa-100ng-4_S12_L007_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	94.80442581765067	fail	0.0	warn	151.0	32891800.0	pass	pass	151.0	41.0	pass
12-Kapa-100ng-4_S12_L008_R1_001	12-Kapa-100ng-4_S12_L008_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	94.202191043965	fail	0.0	warn	151.0	32627300.0	pass	pass	151.0	41.0	pass
12-Kapa-100ng-4_S12_L008_R2_001	12-Kapa-100ng-4_S12_L008_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.40026385009267	fail	0.0	warn	151.0	32627300.0	pass	pass	151.0	41.0	pass
13-Kapa-10ng-1_S13_L005_R1_001	13-Kapa-10ng-1_S13_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	86.04444811060499	fail	0.0	warn	151.0	78043850.0	pass	pass	151.0	42.0	pass
13-Kapa-10ng-1_S13_L005_R2_001	13-Kapa-10ng-1_S13_L005_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	86.82145730579474	fail	0.0	warn	151.0	78043850.0	pass	pass	151.0	42.0	pass
13-Kapa-10ng-1_S13_L006_R1_001	13-Kapa-10ng-1_S13_L006_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	85.29214417419618	fail	0.0	warn	151.0	78509844.0	pass	pass	151.0	42.0	pass
13-Kapa-10ng-1_S13_L006_R2_001	13-Kapa-10ng-1_S13_L006_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	86.25336283475833	fail	0.0	warn	151.0	78509844.0	pass	pass	151.0	42.0	pass
13-Kapa-10ng-1_S13_L007_R1_001	13-Kapa-10ng-1_S13_L007_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	85.73885515922471	fail	0.0	warn	151.0	76468094.0	pass	pass	151.0	42.0	pass
13-Kapa-10ng-1_S13_L007_R2_001	13-Kapa-10ng-1_S13_L007_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	86.77234207872007	fail	0.0	warn	151.0	76468094.0	pass	pass	151.0	42.0	pass
13-Kapa-10ng-1_S13_L008_R1_001	13-Kapa-10ng-1_S13_L008_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	86.27899143352789	fail	0.0	warn	151.0	75575070.0	pass	pass	151.0	42.0	pass
13-Kapa-10ng-1_S13_L008_R2_001	13-Kapa-10ng-1_S13_L008_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	86.61372271532545	fail	0.0	warn	151.0	75575070.0	pass	pass	151.0	42.0	pass
14-Kapa-10ng-2_S14_L005_R1_001	14-Kapa-10ng-2_S14_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.62568882526978	fail	0.0	warn	151.0	74480020.0	pass	pass	151.0	42.0	pass
14-Kapa-10ng-2_S14_L005_R2_001	14-Kapa-10ng-2_S14_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.39002102181814	fail	0.0	warn	151.0	74480020.0	pass	pass	151.0	42.0	pass
14-Kapa-10ng-2_S14_L006_R1_001	14-Kapa-10ng-2_S14_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	89.21898126840618	fail	0.0	warn	151.0	74447719.0	pass	pass	151.0	42.0	pass
14-Kapa-10ng-2_S14_L006_R2_001	14-Kapa-10ng-2_S14_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.08852308850585	fail	0.0	warn	151.0	74447719.0	pass	pass	151.0	43.0	pass
14-Kapa-10ng-2_S14_L007_R1_001	14-Kapa-10ng-2_S14_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	89.62451900301802	fail	0.0	warn	151.0	72432873.0	pass	pass	151.0	42.0	pass
14-Kapa-10ng-2_S14_L007_R2_001	14-Kapa-10ng-2_S14_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	90.55756584334101	fail	0.0	warn	151.0	72432873.0	pass	pass	151.0	43.0	pass
14-Kapa-10ng-2_S14_L008_R1_001	14-Kapa-10ng-2_S14_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	90.1355444114292	fail	0.0	warn	151.0	71472148.0	pass	pass	151.0	42.0	pass
14-Kapa-10ng-2_S14_L008_R2_001	14-Kapa-10ng-2_S14_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.40651027650722	fail	0.0	warn	151.0	71472148.0	pass	pass	151.0	42.0	pass
15-Kapa-10ng-3_S15_L005_R1_001	15-Kapa-10ng-3_S15_L005_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	81.76824913476621	fail	0.0	warn	151.0	50399419.0	pass	pass	151.0	43.0	pass
15-Kapa-10ng-3_S15_L005_R2_001	15-Kapa-10ng-3_S15_L005_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	82.95869568390579	fail	0.0	warn	151.0	50399419.0	pass	pass	151.0	43.0	pass
15-Kapa-10ng-3_S15_L006_R1_001	15-Kapa-10ng-3_S15_L006_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	80.51899636983654	fail	0.0	fail	151.0	50695810.0	pass	pass	151.0	43.0	pass
15-Kapa-10ng-3_S15_L006_R2_001	15-Kapa-10ng-3_S15_L006_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	81.8439019405026	fail	0.0	fail	151.0	50695810.0	pass	pass	151.0	43.0	pass
15-Kapa-10ng-3_S15_L007_R1_001	15-Kapa-10ng-3_S15_L007_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	80.80858935638958	fail	0.0	fail	151.0	49349587.0	pass	pass	151.0	43.0	pass
15-Kapa-10ng-3_S15_L007_R2_001	15-Kapa-10ng-3_S15_L007_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	81.97235151349305	fail	0.0	fail	151.0	49349587.0	pass	pass	151.0	43.0	pass
15-Kapa-10ng-3_S15_L008_R1_001	15-Kapa-10ng-3_S15_L008_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	81.54264123523414	fail	0.0	warn	151.0	48666323.0	pass	pass	151.0	43.0	pass
15-Kapa-10ng-3_S15_L008_R2_001	15-Kapa-10ng-3_S15_L008_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	82.11979611472736	fail	0.0	fail	151.0	48666323.0	pass	pass	151.0	43.0	pass
16-Kapa-10ng-4_S16_L005_R1_001	16-Kapa-10ng-4_S16_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.66744838824707	fail	0.0	warn	151.0	65261697.0	pass	pass	151.0	42.0	pass
16-Kapa-10ng-4_S16_L005_R2_001	16-Kapa-10ng-4_S16_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.70896501622263	fail	0.0	warn	151.0	65261697.0	pass	pass	151.0	42.0	pass
16-Kapa-10ng-4_S16_L006_R1_001	16-Kapa-10ng-4_S16_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	88.2065508961927	fail	0.0	warn	151.0	65746273.0	pass	pass	151.0	42.0	pass
16-Kapa-10ng-4_S16_L006_R2_001	16-Kapa-10ng-4_S16_L006_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.28192444330814	fail	0.0	warn	151.0	65746273.0	pass	pass	151.0	42.0	pass
16-Kapa-10ng-4_S16_L007_R1_001	16-Kapa-10ng-4_S16_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	88.62392969687168	fail	0.0	warn	151.0	64055365.0	pass	pass	151.0	42.0	pass
16-Kapa-10ng-4_S16_L007_R2_001	16-Kapa-10ng-4_S16_L007_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	89.9115993432524	fail	0.0	warn	151.0	64055365.0	pass	pass	151.0	42.0	pass
16-Kapa-10ng-4_S16_L008_R1_001	16-Kapa-10ng-4_S16_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	89.18001050933636	fail	0.0	warn	151.0	63225723.0	pass	pass	151.0	42.0	pass
16-Kapa-10ng-4_S16_L008_R2_001	16-Kapa-10ng-4_S16_L008_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.64493092719921	fail	0.0	warn	151.0	63225723.0	pass	pass	151.0	42.0	pass
17-Quanta-100ng-1_S9_L005_R1_001	17-Quanta-100ng-1_S9_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.61774170253334	fail	0.0	fail	151.0	35272937.0	pass	pass	151.0	41.0	pass
17-Quanta-100ng-1_S9_L005_R2_001	17-Quanta-100ng-1_S9_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	91.06570244482458	fail	0.0	fail	151.0	35272937.0	pass	pass	151.0	41.0	pass
17-Quanta-100ng-1_S9_L006_R1_001	17-Quanta-100ng-1_S9_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	89.7737742840907	fail	0.0	fail	151.0	35007004.0	pass	pass	151.0	41.0	pass
17-Quanta-100ng-1_S9_L006_R2_001	17-Quanta-100ng-1_S9_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	91.24395219541923	fail	0.0	fail	151.0	35007004.0	pass	pass	151.0	41.0	pass
17-Quanta-100ng-1_S9_L007_R1_001	17-Quanta-100ng-1_S9_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	89.43654107888285	fail	0.0	fail	151.0	35049100.0	pass	pass	151.0	41.0	pass
17-Quanta-100ng-1_S9_L007_R2_001	17-Quanta-100ng-1_S9_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	91.49930146639707	fail	0.0	fail	151.0	35049100.0	pass	pass	151.0	41.0	pass
17-Quanta-100ng-1_S9_L008_R1_001	17-Quanta-100ng-1_S9_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.12321443101776	fail	0.0	fail	151.0	34303740.0	pass	pass	151.0	41.0	pass
17-Quanta-100ng-1_S9_L008_R2_001	17-Quanta-100ng-1_S9_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	91.69748279729592	fail	0.0	fail	151.0	34303740.0	pass	pass	151.0	41.0	pass
18-Quanta-100ng-2_S10_L005_R1_001	18-Quanta-100ng-2_S10_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.49864327203103	fail	0.0	fail	151.0	26314451.0	pass	pass	151.0	42.0	pass
18-Quanta-100ng-2_S10_L005_R2_001	18-Quanta-100ng-2_S10_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	91.86483981895628	fail	0.0	warn	151.0	26314451.0	pass	pass	151.0	42.0	pass
18-Quanta-100ng-2_S10_L006_R1_001	18-Quanta-100ng-2_S10_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	90.77899058950139	fail	0.0	fail	151.0	26102191.0	pass	pass	151.0	42.0	pass
18-Quanta-100ng-2_S10_L006_R2_001	18-Quanta-100ng-2_S10_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	91.96745604656675	fail	0.0	warn	151.0	26102191.0	pass	pass	151.0	42.0	pass
18-Quanta-100ng-2_S10_L007_R1_001	18-Quanta-100ng-2_S10_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	90.2679644734732	fail	0.0	fail	151.0	26112198.0	pass	pass	151.0	42.0	pass
18-Quanta-100ng-2_S10_L007_R2_001	18-Quanta-100ng-2_S10_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	92.51895404676881	fail	0.0	warn	151.0	26112198.0	pass	pass	151.0	42.0	pass
18-Quanta-100ng-2_S10_L008_R1_001	18-Quanta-100ng-2_S10_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.91477016481569	fail	0.0	fail	151.0	25579054.0	pass	pass	151.0	42.0	pass
18-Quanta-100ng-2_S10_L008_R2_001	18-Quanta-100ng-2_S10_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	92.63874241673273	fail	0.0	warn	151.0	25579054.0	pass	pass	151.0	42.0	pass
19-Quanta-100ng-3_S11_L005_R1_001	19-Quanta-100ng-3_S11_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	87.76424570950842	fail	0.0	fail	151.0	38643937.0	pass	pass	151.0	41.0	pass
19-Quanta-100ng-3_S11_L005_R2_001	19-Quanta-100ng-3_S11_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.36075084011095	fail	0.0	fail	151.0	38643937.0	pass	pass	151.0	42.0	pass
19-Quanta-100ng-3_S11_L006_R1_001	19-Quanta-100ng-3_S11_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	88.12522022267167	fail	0.0	fail	151.0	38173881.0	pass	pass	151.0	41.0	pass
19-Quanta-100ng-3_S11_L006_R2_001	19-Quanta-100ng-3_S11_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	89.69663957808059	fail	0.0	fail	151.0	38173881.0	pass	pass	151.0	42.0	pass
19-Quanta-100ng-3_S11_L007_R1_001	19-Quanta-100ng-3_S11_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	87.74548902453375	fail	0.0	fail	151.0	38667791.0	pass	pass	151.0	41.0	pass
19-Quanta-100ng-3_S11_L007_R2_001	19-Quanta-100ng-3_S11_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	89.75220832212042	fail	0.0	fail	151.0	38667791.0	pass	pass	151.0	42.0	pass
19-Quanta-100ng-3_S11_L008_R1_001	19-Quanta-100ng-3_S11_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	88.10328441501252	fail	0.0	fail	151.0	37180544.0	pass	pass	151.0	41.0	pass
19-Quanta-100ng-3_S11_L008_R2_001	19-Quanta-100ng-3_S11_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	fail	Sanger / Illumina 1.9	fail	89.67834766714535	fail	0.0	fail	151.0	37180544.0	pass	pass	151.0	42.0	pass
2-Swift2S-100ng-2_S6_L005_R1_001	2-Swift2S-100ng-2_S6_L005_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	82.3630324720693	fail	0.0	fail	151.0	42285519.0	pass	pass	151.0	42.0	pass
2-Swift2S-100ng-2_S6_L005_R2_001	2-Swift2S-100ng-2_S6_L005_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	83.24963485526567	fail	0.0	warn	151.0	42285519.0	pass	pass	151.0	42.0	pass
2-Swift2S-100ng-2_S6_L006_R1_001	2-Swift2S-100ng-2_S6_L006_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	82.74351003097425	fail	0.0	fail	151.0	42661919.0	pass	pass	151.0	42.0	pass
2-Swift2S-100ng-2_S6_L006_R2_001	2-Swift2S-100ng-2_S6_L006_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	83.5222159752796	fail	0.0	warn	151.0	42661919.0	pass	pass	151.0	42.0	pass
2-Swift2S-100ng-2_S6_L007_R1_001	2-Swift2S-100ng-2_S6_L007_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	82.97513509617491	fail	0.0	fail	151.0	42057726.0	pass	pass	151.0	42.0	pass
2-Swift2S-100ng-2_S6_L007_R2_001	2-Swift2S-100ng-2_S6_L007_R2_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	84.78167642066668	fail	0.0	warn	151.0	42057726.0	pass	pass	151.0	42.0	pass
2-Swift2S-100ng-2_S6_L008_R1_001	2-Swift2S-100ng-2_S6_L008_R1_001.fastq.gz	pass	fail	pass	pass	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	83.66627073166275	fail	0.0	fail	151.0	41890051.0	pass	pass	151.0	42.0	pass
